Id_Municipio_Dane,Nombre_Municipio,Id_Departamento_Dane,Nombre_Departamento,Predial_Eje_X,Predial_Eje_Y,Categoria_Potencial
15226,Cuítiva,15,Boyacá,-0.06732673267326728,-0.6818622696411252,Esperanza Futura
19785,Sucre,19,Cauca,-0.06633663366336628,-0.9224054316197866,Esperanza Futura
68322,Guapotá,68,Santander,-0.0653465346534653,-0.6071774975751698,Esperanza Futura
5237,Don Matías,5,Antioquia,-0.0643564356435643,-0.040737148399612066,Esperanza Futura
23001,Montería,23,Córdoba,-0.06336633663366331,0.6129970902036856,Desaceledaro
73347,Herveo,73,Tolima,-0.06039603960396045,-0.6605237633365664,Esperanza Futura
25181,Choachí,25,Cundinamarca,-0.05742574257425748,-0.2938894277400582,Esperanza Futura
54001,Cúcuta,54,Norte de Santander,-0.056435643564356486,0.7904946653734239,Desaceledaro
13160,Cantagallo,13,Bolívar,-0.05346534653465351,-0.9553831231813773,Esperanza Futura
27425,Medio Atrato,27,Chocó,-0.05247524752475252,-0.33074684772065954,Esperanza Futura
76863,Versalles,76,Valle del Cauca,-0.05148514851485153,-0.4616876818622696,Esperanza Futura
5147,Carepa,5,Antioquia,-0.05049504950495054,0.10087293889427751,Desaceledaro
15835,Turmequé,15,Boyacá,-0.04950495049504955,-0.43452958292919497,Esperanza Futura
76275,Florida,76,Valle del Cauca,-0.04851485148514856,0.18428709990300685,Desaceledaro
76126,Calima,76,Valle del Cauca,-0.04752475247524757,0.0455868089233753,Desaceledaro
25506,Venecia,25,Cundinamarca,-0.046534653465346576,-0.6372453928225024,Esperanza Futura
23500,Moñitos,23,Córdoba,-0.045544554455445585,-0.6246362754607178,Esperanza Futura
54109,Bucarasica,54,Norte de Santander,-0.044554455445544594,-0.944713870029098,Esperanza Futura
5842,Uramita,5,Antioquia,-0.0435643564356436,-0.7934044616876819,Esperanza Futura
25491,Nocaima,25,Cundinamarca,-0.04257425742574261,-0.44519883608147426,Esperanza Futura
27615,Riosucio,27,Chocó,-0.04158415841584162,-0.3161978661493695,Esperanza Futura
54250,El Tarra,54,Norte de Santander,-0.04059405940594063,-0.8477206595538312,Esperanza Futura
76111,Guadalajara de Buga,76,Valle del Cauca,-0.03960396039603964,0.3743937924345295,Desaceledaro
17653,Salamina,17,Caldas,-0.03861386138613865,-0.22696411251212412,Esperanza Futura
97161,Caruru,97,Vaupés,-0.03762376237623766,-0.7885548011639185,Esperanza Futura
73026,Alvarado,73,Tolima,-0.034653465346534684,-0.2356935014548982,Esperanza Futura
52356,Ipiales,52,Nariño,-0.03168316831683171,0.2715809893307468,Desaceledaro
68147,Capitanejo,68,Santander,-0.03069306930693072,-0.8186226964112512,Esperanza Futura
5034,Andes,5,Antioquia,-0.027722772277227747,0.019398642095053376,Desaceledaro
5652,San Francisco,5,Antioquia,-0.024752475247524774,-0.94180407371484,Esperanza Futura
25513,Pacho,25,Cundinamarca,-0.023762376237623783,-0.026188166828322035,Esperanza Futura
66400,La Virginia,66,Risaralda,-0.022772277227722793,-0.10281280310378271,Esperanza Futura
41518,Paicol,41,Huila,-0.0217821782178218,-0.7866149369544132,Esperanza Futura
70473,Morroa,70,Sucre,-0.02079207920792081,-0.8060135790494666,Esperanza Futura
15646,Samacá,15,Boyacá,-0.01980198019801982,-0.1348205625606208,Esperanza Futura
54871,Villa Caro,54,Norte de Santander,-0.01881188118811883,-0.8011639185257032,Esperanza Futura
5036,Angelópolis,5,Antioquia,-0.015841584158415856,-0.4393792434529583,Esperanza Futura
25823,Topaipí,25,Cundinamarca,-0.012871287128712883,-0.9097963142580019,Esperanza Futura
5308,Girardota,5,Antioquia,-0.011881188118811892,0.2929194956353056,Desaceledaro
52227,Cumbal,52,Nariño,-0.008910891089108919,-0.8971871968962173,Esperanza Futura
54206,Convención,54,Norte de Santander,-0.007920792079207928,-0.5092143549951503,Esperanza Futura
50686,San Juanito,50,Meta,-0.004950495049504955,-0.9602327837051406,Esperanza Futura
73148,Carmen de Apicalá,73,Tolima,-0.001980198019801982,-0.03976721629485935,Esperanza Futura
5101,Ciudad Bolívar,5,Antioquia,-0.000990099009900991,-0.032977691561590694,Esperanza Futura
5001,Medellín,5,Antioquia,0.001980198019801982,0.9709020368574199,Grandes Creciendo
5212,Copacabana,5,Antioquia,0.002970297029702973,0.35402521823472366,Grandes Creciendo
25151,Caqueza,25,Cundinamarca,0.003960396039603964,-0.43258971871968965,Emergentes
63401,La Tebaida,63,Quindío,0.004950495049504955,0.11154219204655669,Grandes Creciendo
70429,Majagual,70,Sucre,0.005940594059405946,-0.6711930164888458,Emergentes
25815,Tocaima,25,Cundinamarca,0.008910891089108919,-0.014548981571290032,Emergentes
13074,Barranco de Loba,13,Bolívar,0.00990099009900991,-0.9369544131910766,Emergentes
44874,Villanueva,44,La Guajira,0.0108910891089109,-0.6256062075654705,Emergentes
41026,Altamira,41,Huila,0.011881188118811892,-0.6042677012609117,Emergentes
63272,Filandia,63,Quindío,0.012871287128712883,-0.1784675072744908,Emergentes
66594,Quinchía,66,Risaralda,0.013861386138613874,-0.3608147429679922,Emergentes
19022,Almaguer,19,Cauca,0.016831683168316847,-0.7778855480116391,Emergentes
17050,Aranzazu,17,Caldas,0.017821782178217838,-0.600387972841901,Emergentes
50245,El Calvario,50,Meta,0.01881188118811883,-0.8360814742967992,Emergentes
76400,La Unión,76,Valle del Cauca,0.0217821782178218,0.009699321047526688,Grandes Creciendo
5145,Caramanta,5,Antioquia,0.022772277227722793,-0.48787584869059164,Emergentes
5045,Apartadó,5,Antioquia,0.025742574257425765,0.32201745877788546,Grandes Creciendo
68051,Aratoca,68,Santander,0.026732673267326756,-0.44616876818622697,Emergentes
17042,Anserma,17,Caldas,0.027722772277227747,-0.020368574199805978,Emergentes
5792,Tarso,5,Antioquia,0.02871287128712874,-0.22114451988360817,Emergentes
68101,Bolívar,68,Santander,0.02970297029702973,-0.4287099903006789,Emergentes
76306,Ginebra,76,Valle del Cauca,0.03069306930693072,-0.17167798254122213,Emergentes
52788,Tangua,52,Nariño,0.03366336633663369,-0.6508244422890397,Emergentes
68533,Páramo,68,Santander,0.034653465346534684,-0.518913676042677,Emergentes
25120,Cabrera,25,Cundinamarca,0.03762376237623766,-0.6120271580989332,Emergentes
15176,Chiquinquirá,15,Boyacá,0.04059405940594063,0.21920465567410274,Grandes Creciendo
25307,Girardot,25,Cundinamarca,0.04158415841584162,0.46459747817652763,Grandes Creciendo
68167,Charalá,68,Santander,0.044554455445544594,-0.2793404461687682,Emergentes
76895,Zarzal,76,Valle del Cauca,0.045544554455445585,0.2046556741028127,Grandes Creciendo
50223,Cubarral,50,Meta,0.046534653465346576,-0.44325897187196894,Emergentes
76020,Alcalá,76,Valle del Cauca,0.04950495049504955,-0.3055286129970902,Emergentes
25769,Subachoque,25,Cundinamarca,0.05049504950495054,0.06401551891367596,Grandes Creciendo
13657,San Juan Nepomuceno,13,Bolívar,0.05346534653465351,-0.5741998060135791,Emergentes
17380,La Dorada,17,Caldas,0.054455445544554504,0.2725509214354995,Grandes Creciendo
52260,El Tambo,52,Nariño,0.055445544554455495,-0.7303588748787585,Emergentes
13052,Arjona,13,Bolívar,0.056435643564356486,-0.07080504364694473,Emergentes
27050,Atrato,27,Chocó,0.05940594059405946,-0.9951503394762367,Emergentes
5887,Yarumal,5,Antioquia,0.06237623762376243,0.125121241513094,Grandes Creciendo
13468,Mompós,13,Bolívar,0.06336633663366342,-0.26576139670223087,Emergentes
70204,Coloso,70,Sucre,0.06435643564356441,-0.9728419010669254,Emergentes
17444,Marquetalia,17,Caldas,0.06732673267326739,-0.5208535402521823,Emergentes
68418,Los Santos,68,Santander,0.07029702970297036,-0.0562560620756547,Emergentes
25745,Simijaca,25,Cundinamarca,0.07128712871287135,-0.17070805043646942,Emergentes
17662,Samaná,17,Caldas,0.07227722772277234,-0.4403491755577109,Emergentes
5107,Briceño,5,Antioquia,0.07326732673267333,-0.5664403491755576,Emergentes
50001,Villavicencio,50,Meta,0.07425742574257432,0.6857419980601358,Grandes Creciendo
52835,San Andres de Tumaco,52,Nariño,0.07524752475247531,0.08341416100872934,Grandes Creciendo
25200,Cogua,25,Cundinamarca,0.0762376237623763,0.09505334626576145,Grandes Creciendo
76520,Palmira,76,Valle del Cauca,0.0772277227722773,0.7613967022308439,Grandes Creciendo
20011,Aguachica,20,Cesar,0.07821782178217829,0.061105722599418044,Grandes Creciendo
52490,Olaya Herrera,52,Nariño,0.07920792079207928,-0.6750727449078564,Emergentes
5856,Valparaíso,5,Antioquia,0.08019801980198027,-0.2153249272550921,Emergentes
76823,Toro,76,Valle del Cauca,0.08316831683168324,-0.18525703200775945,Emergentes
86760,Santiago,86,Putumayo,0.08613861386138622,-0.8525703200775946,Emergentes
23168,Chimá,23,Córdoba,0.08910891089108919,-0.7080504364694471,Emergentes
